temp_id,exercise_type,name,description,video_url,visibility,equipment_tags,region_tag,goal_tag,modality_tag,intensity_tag,contraindication_tags
E002,Gym,Front Squat,Upright barbell squat emphasizing quads and core,,global,barbell,Lower Body,Strength,Weight Training,Moderate Intensity,knee pain|low back pain
E003,Gym,Goblet Squat,Dumbbell/kettlebell squat for bracing and depth,,global,dumbbell|kettlebell,Lower Body,Strength,Weight Training,Moderate Intensity,knee pain|low back pain
E004,Gym,Box Squat,Squat to box for controlled depth and posterior chain,,global,barbell|bench,Lower Body,Strength,Weight Training,Moderate Intensity,knee pain|low back pain
E005,Gym,Split Squat,Stationary lunge for unilateral leg strength,,global,bodyweight,Lower Body,Strength,Weight Training,Moderate Intensity,knee pain|low back pain
E007,Gym,Bulgarian Split Squat (Dumbbell),Rear-foot-elevated split squat with dumbbells,,global,bench|dumbbell,Lower Body,Strength,Weight Training,Moderate Intensity,knee pain|low back pain
E009,Gym,Walking Lunge (Dumbbell),Walking lunge loaded with dumbbells,,global,dumbbell,Lower Body,Strength,Weight Training,Moderate Intensity,knee pain
E010,Gym,Reverse Lunge,Backward step lunge to reduce knee stress,,global,bodyweight,Lower Body,Strength,Weight Training,Moderate Intensity,knee pain
E011,Gym,Reverse Lunge (Dumbbell),Reverse lunge loaded with dumbbells,,global,dumbbell,Lower Body,Strength,Weight Training,Moderate Intensity,knee pain
E012,Gym,Step-Up,Step onto bench/box for unilateral leg drive,,global,bench|bodyweight,Lower Body,Strength,Weight Training,Moderate Intensity,knee pain
E013,Gym,Step-Up (Dumbbell),Loaded step-up with dumbbells,,global,bench|dumbbell,Lower Body,Strength,Weight Training,Moderate Intensity,knee pain
E015,Gym,Hack Squat (Machine),Machine squat emphasizing quads,,global,machine,Lower Body,Strength,Weight Training,Moderate Intensity,knee pain|low back pain
E016,Gym,Smith Machine Squat,Guided squat pattern for strength work,,global,machine,Lower Body,Strength,Weight Training,Moderate Intensity,knee pain|low back pain
E019,Gym,Romanian Deadlift (Dumbbell),Dumbbell hinge emphasizing hamstrings,,global,dumbbell,Lower Body,Strength,Weight Training,Moderate Intensity,low back pain
